filename,leaf-dim-unit,leaf-height,leaf-width,writtenHeight,writtenWidth,LeafDivWritten
collections\Ashmole\MS_Ashmole_1479.xml,,,,,,
collections\Ashmole\MS_Ashmole_1480.xml,,,,,,
collections\Ashmole\MS_Ashmole_1481.xml,,,,,,
collections\Ashmole\MS_Ashmole_1485.xml,,,,,,
collections\Ashmole\MS_Ashmole_1486.xml,,,,,,
collections\Ashmole\MS_Ashmole_1489.xml,,,,,,
collections\Ashmole\MS_Ashmole_1492.xml,,,,,,
collections\Ashmole\MS_Ashmole_1498.xml,,,,,,
collections\Ashmole\MS_Ashmole_1500.xml,,,,,,
collections\Ashmole\MS_Ashmole_1503.xml,,,,,,
collections\Ashmole\MS_Ashmole_1504.xml,,,,,,
collections\Ashmole\MS_Ashmole_1505.xml,,,,,,
collections\Ashmole\MS_Ashmole_1509.xml,,,,,,
collections\Ashmole\MS_Ashmole_1511.xml,mm,275,182.5,185,110,1.4864864864864864
collections\Ashmole\MS_Ashmole_1512.xml,,,,,,
collections\Ashmole\MS_Ashmole_1516.xml,,,,,,
collections\Ashmole\MS_Ashmole_1517.xml,mm,280,205,139,197,2.014388489208633
collections\Ashmole\MS_Ashmole_1518.xml,,,,,,
collections\Ashmole\MS_Ashmole_1519.xml,,,,,,
collections\Ashmole\MS_Ashmole_1520.xml,,,,,,
collections\Ashmole\MS_Ashmole_1522.xml,mm,255,185,160,105,1.59375
collections\Ashmole\MS_Ashmole_1523.xml,mm,330,220,215,140,1.5348837209302326
collections\Ashmole\MS_Ashmole_1524.xml,,,,,,
collections\Ashmole\MS_Ashmole_1525.xml,mm,304,210,190,142,1.6
collections\Ashmole\MS_Ashmole_1526.xml,,,,,,
collections\Ashmole\MS_Ashmole_1527.xml,,,,,,
collections\Ashmole\MS_Ashmole_1729.xml,,,,,,
collections\Ashmole\MS_Ashmole_1763.xml,,,,,,
collections\Ashmole\MS_Ashmole_1776.xml,,,,,,
collections\Ashmole\MS_Ashmole_1791.xml,,,,,,
collections\Ashmole\MS_Ashmole_1796.xml,,,,,,
collections\Ashmole\MS_Ashmole_1804.xml,,,,,,
collections\Ashmole\MS_Ashmole_1827.xml,,,,,,
collections\Ashmole\MS_Ashmole_1831.xml,,,,,,
collections\Ashmole\MS_Ashmole_186.xml,,,,,,
collections\Ashmole\MS_Ashmole_188.xml,,,,,,
collections\Ashmole\MS_Ashmole_189.xml,,,,,,
collections\Ashmole\MS_Ashmole_191.xml,,,,,,
collections\Ashmole\MS_Ashmole_210.xml,mm,295,210,,,
collections\Ashmole\MS_Ashmole_244.xml,,,,,,
collections\Ashmole\MS_Ashmole_304.xml,,,,,,
collections\Ashmole\MS_Ashmole_328.xml,,,,,,
collections\Ashmole\MS_Ashmole_33.xml,,,,,,
collections\Ashmole\MS_Ashmole_333.xml,,,,,,
collections\Ashmole\MS_Ashmole_337.xml,,,,,,
collections\Ashmole\MS_Ashmole_34.xml,mm,335,245,,,
collections\Ashmole\MS_Ashmole_340.xml,,,,,,
collections\Ashmole\MS_Ashmole_341.xml,mm,170,115,143,90,1.1888111888111887
collections\Ashmole\MS_Ashmole_342.xml,,,,,,
collections\Ashmole\MS_Ashmole_343.xml,,,,,,
collections\Ashmole\MS_Ashmole_344.xml,,,,,,
collections\Ashmole\MS_Ashmole_345.xml,,,,,,
collections\Ashmole\MS_Ashmole_346.xml,,,,,,
collections\Ashmole\MS_Ashmole_349.xml,,,,,,
collections\Ashmole\MS_Ashmole_35.xml,mm,347.5,237.5,257.5,177.5,1.3495145631067962
collections\Ashmole\MS_Ashmole_357.xml,,,,,,
collections\Ashmole\MS_Ashmole_360.xml,,,,,,
collections\Ashmole\MS_Ashmole_361.xml,,,,,,
collections\Ashmole\MS_Ashmole_369.xml,,,,,,
collections\Ashmole\MS_Ashmole_370.xml,,,,,,
collections\Ashmole\MS_Ashmole_371.xml,,,,,,
collections\Ashmole\MS_Ashmole_39.xml,mm,288-290,208-210,204-210,115-119,
collections\Ashmole\MS_Ashmole_391.xml,,,,,,
collections\Ashmole\MS_Ashmole_393.xml,,,,,,
collections\Ashmole\MS_Ashmole_396.xml,,,,,,
collections\Ashmole\MS_Ashmole_398.xml,,,,,,
collections\Ashmole\MS_Ashmole_399.xml,mm,270,195,205.0,,1.3170731707317074
collections\Ashmole\MS_Ashmole_40.xml,mm,275,192,,,
collections\Ashmole\MS_Ashmole_41.xml,mm,265,175,185,100,1.4324324324324325
collections\Ashmole\MS_Ashmole_42.xml,,,,,,
collections\Ashmole\MS_Ashmole_424.xml,,,,,,
collections\Ashmole\MS_Ashmole_43.xml,mm,230,137,176,100,1.3068181818181819
collections\Ashmole\MS_Ashmole_44.xml,,,,,,
collections\Ashmole\MS_Ashmole_45.xml,mm,230,147,155,90,1.4838709677419355
